10 MM - II,20 MM - II,CEMENT OPC GRADE 43,CEMENT OPC GRADE 53,CEMENT PPC,CRUSHED STONE SAND II,FLY ASH,GGBS,GRADE,NATURAL SAND-COARSE,NATURAL SAND-FINE,RMC ADMX - HIGH PC,RMC ADMX - MID PC,SLUMP / FLOW,WATER,W/C,BLEND_OPC+GGBS,BLEND_OPC+PFA,BLEND_OPC+PFA+GGBS,BLEND_PPC,BLEND_PPC+GGBS,BLEND_PPC+PFA,BLEND_PPC+PFA+GGBS,DISTANCE_Medium,DISTANCE_Short,SPECIFIED SLUMP_175,SPECIFIED SLUMP_225,SPECIFIED SLUMP_25 ± 15,SPECIFIED SLUMP_75
622.0,620.571,0.0,0.0,207.143,0.0,0.0,207.0,30,0.0,680.429,0.0,1.393,140,142.284,0.343562489285102,0,0,0,0,1,0,0,1,0,1,0,0,0
581.833,630.167,0.0,0.0,333.667,0.0,0.0,115.667,35,0.0,718.833,0.0,1.403,140,120.315,0.2677629558413118,0,0,0,0,1,0,0,1,0,0,0,0,0
534.0,650.429,0.0,0.0,320.429,0.0,0.0,101.857,30,0.0,748.0,0.0,1.304,140,141.576,0.335260936900584,0,0,0,0,1,0,0,1,0,0,0,0,0
583.143,630.286,0.0,0.0,336.143,0.0,0.0,116.143,35,0.0,679.857,0.0,1.393,140,156.263,0.3454959914744211,0,0,0,0,1,0,0,1,0,0,0,0,0
599.25,601.0,0.0,0.0,270.0,0.0,0.0,69.5,25,0.0,746.25,0.0,1.3,130,161.515,0.4757437407952871,0,0,0,0,1,0,0,1,0,0,0,0,0
619.429,620.714,0.0,0.0,206.714,0.0,0.0,207.0,30,0.0,664.571,0.0,1.37,150,159.111,0.3845917711269137,0,0,0,0,1,0,0,1,0,1,0,0,0
618.286,618.429,0.0,0.0,207.0,0.0,0.0,207.143,30,0.0,677.714,0.0,1.344,140,145.436,0.3511733869702011,0,0,0,0,1,0,0,1,0,0,0,0,0
620.857,619.857,0.0,0.0,206.714,0.0,0.0,206.857,30,0.0,680.286,0.0,1.423,140,142.304,0.3440860215053763,0,0,0,0,1,0,0,1,0,0,0,0,0
619.429,621.0,0.0,0.0,206.857,0.0,0.0,207.0,30,0.0,683.571,0.0,1.416,140,140.674,0.339909678947076,0,0,0,0,1,0,0,1,0,0,0,0,0
621.778,619.556,0.0,0.0,207.111,0.0,0.0,206.889,30,0.0,671.333,0.0,1.398,140,150.949,0.3646111111111112,0,0,0,0,1,0,0,1,0,0,0,0,0
620.833,619.0,0.0,0.0,206.5,0.0,0.0,206.833,30,0.0,684.667,0.0,1.4,140,138.86,0.3359518838321645,0,0,0,0,1,0,0,1,0,0,0,0,0
517.833,777.0,0.0,422.167,0.0,0.0,0.0,0.0,35,0.0,665.833,0.0,1.5,150,121.993,0.2889685835226344,0,0,0,0,0,0,0,1,0,0,0,0,0
618.667,620.333,0.0,0.0,207.0,0.0,0.0,207.167,30,0.0,685.333,0.0,1.408,150,139.402,0.3365840349424266,0,0,0,0,1,0,0,1,0,0,0,0,0
532.714,654.571,0.0,0.0,319.143,0.0,0.0,102.0,30,0.0,736.0,0.0,1.304,140,154.121,0.3659588310858782,0,0,0,0,1,0,0,1,0,0,0,0,0
582.0,629.0,0.0,0.0,334.167,0.0,0.0,116.0,35,0.0,695.833,0.0,1.39,140,142.892,0.3174199796964238,0,0,0,0,1,0,0,1,0,0,0,0,0
621.286,622.714,0.0,0.0,206.571,0.0,0.0,206.857,30,0.0,678.714,0.0,1.346,130,142.794,0.3453902493299922,0,0,0,0,1,0,0,1,0,0,0,0,0
683.429,515.429,0.0,0.0,150.286,0.0,0.0,149.714,20,0.0,804.857,0.0,1.359,120,156.84,0.5228,0,0,0,0,1,0,0,1,0,0,0,0,0
621.571,618.857,0.0,0.0,205.714,0.0,0.0,207.143,30,0.0,671.571,0.0,1.46,120,152.323,0.3689485705704397,0,0,0,0,1,0,0,1,0,1,0,0,0
684.0,514.571,0.0,0.0,149.857,0.0,0.0,150.0,20,0.0,824.429,0.0,1.343,120,138.627,0.4623103679420524,0,0,0,0,1,0,0,1,0,0,0,0,0
622.571,618.429,0.0,0.0,207.286,0.0,0.0,206.857,30,0.0,675.0,0.0,1.851,120,145.551,0.351451068833712,0,0,0,0,1,0,0,1,0,0,0,0,0
619.286,618.714,0.0,0.0,206.714,0.0,0.0,207.143,30,0.0,682.714,0.0,1.444,120,140.453,0.3393756780723777,0,0,0,0,1,0,0,1,0,0,0,0,0
619.714,621.286,0.0,0.0,207.714,0.0,0.0,206.857,30,0.0,685.286,0.0,1.406,120,133.954,0.3231147378856697,0,0,0,0,1,0,0,1,0,0,0,0,0
619.714,619.571,0.0,0.0,206.857,0.0,0.0,207.143,30,0.0,676.429,0.0,1.391,140,146.209,0.3531618357487923,0,0,0,0,1,0,0,1,0,1,0,0,0
621.571,618.857,0.0,0.0,206.571,0.0,0.0,207.143,30,0.0,680.429,0.0,1.599,140,139.963,0.3383085899921202,0,0,0,0,1,0,0,1,0,0,0,0,0
620.857,620.0,0.0,0.0,207.286,0.0,0.0,206.857,30,0.0,683.286,0.0,1.4,140,140.436,0.3391002624697266,0,0,0,0,1,0,0,1,0,0,0,0,0
535.286,651.429,0.0,0.0,321.143,0.0,0.0,102.143,30,0.0,749.571,0.0,1.291,140,142.306,0.3361934956506949,0,0,0,0,1,0,0,1,0,0,0,0,0
698.143,539.714,0.0,0.0,204.571,0.0,0.0,205.143,30,0.0,687.857,0.0,1.293,140,149.444,0.3647519977350054,0,0,0,0,1,0,0,1,0,0,0,0,0
621.077,619.692,0.0,0.0,250.154,0.0,0.0,166.154,30,0.0,682.154,0.0,1.4,140,140.575,0.3376706669100762,0,0,0,0,1,0,0,1,0,0,0,0,0
584.333,653.5,0.0,0.0,332.333,0.0,0.0,116.0,35,0.0,701.833,0.0,1.395,140,132.897,0.296424755706138,0,0,0,0,1,0,0,1,0,0,0,0,0
533.714,652.571,0.0,0.0,320.143,0.0,0.0,102.0,30,0.0,746.571,0.0,1.391,140,142.384,0.3372885491409309,0,0,0,0,1,0,0,1,0,0,0,0,0
618.714,620.429,0.0,0.0,207.0,0.0,0.0,207.143,30,0.0,666.143,0.0,1.317,145,157.26,0.3797239117889231,0,0,0,0,1,0,0,1,0,1,0,0,0
619.571,619.714,0.0,0.0,206.429,0.0,0.0,207.0,30,0.0,666.714,0.0,1.293,140,156.727,0.379090484702331,0,0,0,0,1,0,0,1,0,0,0,0,0
619.143,622.286,0.0,0.0,207.286,0.0,0.0,207.0,30,0.0,676.0,0.0,1.399,120,145.479,0.3511559647200244,0,0,0,0,1,0,0,1,0,0,0,0,0
617.0,620.25,0.0,0.0,207.5,0.0,0.0,207.25,30,0.0,676.0,0.0,1.405,120,148.605,0.3583001808318264,0,0,0,0,1,0,0,1,0,0,0,0,0
618.571,639.286,0.0,0.0,207.0,0.0,0.0,207.0,30,0.0,688.714,0.0,1.4,120,133.27,0.3219082125603865,0,0,0,0,1,0,0,1,0,0,0,0,0
587.143,635.571,0.0,0.0,212.143,0.0,0.0,212.143,35,0.0,696.714,0.0,1.396,120,140.794,0.3318374869781233,0,0,0,0,1,0,0,1,0,0,0,0,0
620.8,619.2,0.0,0.0,207.0,0.0,0.0,207.4,30,0.0,708.6,0.0,1.394,120,114.684,0.2767471042471042,0,0,0,0,1,0,0,1,0,1,0,0,0
620.286,619.0,0.0,0.0,207.143,0.0,0.0,207.143,30,0.0,674.286,0.0,1.404,140,150.373,0.3629690600213379,0,0,0,0,1,0,0,1,0,0,0,0,0
620.8,621.2,0.0,0.0,207.0,0.0,0.0,206.8,30,0.0,695.0,0.0,1.398,140,127.824,0.3089028516191397,0,0,0,0,1,0,0,1,0,0,0,0,0
623.111,621.111,0.0,0.0,206.222,0.0,0.0,207.111,30,0.0,681.778,0.0,1.416,140,139.418,0.337301884920875,0,0,0,0,1,0,0,1,0,0,0,0,0
535.538,653.385,0.0,0.0,318.0,0.0,0.0,102.154,30,0.0,763.846,0.0,1.394,140,127.877,0.3043574498874222,0,0,0,0,1,0,0,1,0,0,0,0,0
583.333,630.167,0.0,0.0,333.167,0.0,0.0,116.0,35,0.0,683.833,0.0,1.393,150,155.265,0.3456732128584691,0,0,0,0,1,0,0,1,0,0,0,0,0
620.0,623.5,0.0,0.0,207.0,0.0,0.0,207.0,30,0.0,679.5,0.0,1.308,130,143.658,0.347,0,0,0,0,1,0,0,1,0,0,0,0,0
517.714,775.857,0.0,421.143,0.0,0.0,0.0,0.0,35,0.0,639.429,0.0,1.391,130,142.004,0.3371871312119636,0,0,0,0,0,0,0,1,0,0,0,0,0
618.75,618.0,0.0,0.0,208.25,0.0,0.0,207.0,30,0.0,670.75,0.0,1.315,130,152.41,0.3670319084888621,0,0,0,0,1,0,0,1,0,0,0,0,0
683.857,514.286,0.0,0.0,151.286,0.0,0.0,149.143,20,0.0,865.714,0.0,1.293,120,94.077,0.3131422066444984,0,0,0,0,1,0,0,1,0,0,0,0,0
619.857,618.571,0.0,0.0,207.429,0.0,0.0,207.429,30,0.0,693.429,0.0,1.409,120,130.513,0.3145968017972415,0,0,0,0,1,0,0,1,0,0,0,0,0
589.333,638.0,0.0,0.0,211.333,0.0,0.0,211.333,35,0.0,731.333,0.0,1.404,120,106.82,0.2527291052509547,0,0,0,0,1,0,0,1,0,0,0,0,0
618.333,619.667,0.0,0.0,207.0,0.0,0.0,206.833,30,0.0,683.0,0.0,1.392,120,143.947,0.3478383792496007,0,0,0,0,1,0,0,1,0,0,0,0,0
616.25,618.75,0.0,0.0,207.5,0.0,0.0,207.0,30,0.0,666.75,0.0,1.42,140,155.465,0.3750663449939686,0,0,0,0,1,0,0,1,0,1,0,0,0
681.167,515.167,0.0,0.0,150.667,0.0,0.0,149.667,20,0.0,826.667,0.0,1.192,140,132.822,0.4422476309708525,0,0,0,0,1,0,0,1,0,0,0,0,0
620.714,621.857,0.0,0.0,207.0,0.0,0.0,206.714,30,0.0,669.143,0.0,1.396,140,153.787,0.3717229777092388,0,0,0,0,1,0,0,1,0,0,0,0,0
581.5,630.167,0.0,0.0,335.333,0.0,0.0,115.667,35,0.0,686.5,0.0,1.395,140,152.318,0.3377339246119734,0,0,0,0,1,0,0,1,0,0,0,0,0
